Fecha,Centro Ozono,Centro diÛxido de azufre,Centro diÛxido de nitrÛgeno,Centro monÛxido de carbono,Centro PM10
2021-12-05,29.125,16.5,18.16666667,7.708333333,54.70833333
2021-12-06,31.04166667,6.416666667,24.33333333,7.875,65.79166667
2021-12-07,27.08333333,6.333333333,23.33333333,6.75,70
2021-12-08,32.75,6.833333333,28.20833333,9.833333333,73.08333333
2021-12-09,38.04166667,7.666666667,33.125,10.5,93.58333333
2021-12-10,41.04166667,6.916666667,28.66666667,8.916666667,101.1666667
2021-12-11,36.625,6.333333333,23.625,10.66666667,100.375
2021-12-12,29.33333333,4.583333333,16.33333333,4.625,84.75
2021-12-13,20.20833333,5.583333333,18.91666667,6.083333333,51.29166667
2021-12-14,18.54166667,12.25,19.875,5.958333333,60.66666667
2021-12-15,28.08333333,16.33333333,22.54166667,6.666666667,69.54166667
2021-12-16,31.875,12,24.41666667,7.458333333,88.66666667
2021-12-17,20.54166667,7.583333333,24.29166667,7.791666667,84.04166667
2021-12-18,18.58333333,4.416666667,21.25,7.166666667,66.91666667
2021-12-19,23.29166667,5.083333333,18.70833333,10.125,71.75
2021-12-20,10.04166667,8.75,20.70833333,6.291666667,55.625
2021-12-21,22.66666667,7.666666667,22,9.333333333,70.75
2021-12-22,19.16666667,14.91666667,24.375,9.625,85.41666667
2021-12-23,14.5,17.08333333,27.125,13.20833333,97.75
2021-12-24,16.79166667,12.83333333,23.16666667,13.95833333,95.29166667
2021-12-25,20.125,10.75,16.45833333,10.16666667,106.5416667
2021-12-26,18.70833333,10.16666667,22.66666667,9.5,77.66666667
2021-12-27,23.20833333,16.58333333,25.79166667,11.58333333,78.75
2021-12-28,31.20833333,7.5,19.875,7.291666667,88.54166667
2021-12-29,19.58333333,4.25,20.45833333,6.833333333,69.16666667
2021-12-30,28.875,5,24.375,9.458333333,69.75
2021-12-31,37.875,6,24.20833333,11.79166667,85.5
